GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},42,0,0,0,4,0,2,0,2,0
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingClient.NettyClientHandler,0,12,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyRemotingServer.NettyServerHandler,0,33,1,3,0,8,1,3,0,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,RequestTask,150,25,29,1,26,10,21,2,6,2
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.netty,NettyEventType,0,44,0,0,0,5,0,1,0,1
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingSerializable,8,55,2,2,3,15,3,10,1,10
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,LanguageCode,2,180,1,3,1,21,1,5,0,4
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,SerializeType,4,57,2,2,1,10,2,4,0,4
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RequestType,0,50,0,4,0,10,0,6,0,4
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingSysResponseCode,3,0,0,0,1,0,1,0,1,0
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,FastCodesHeader,30,0,4,0,9,0,4,0,2,0
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingCommandType,0,24,0,0,0,3,0,1,0,1
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RocketMQSerializable,44,476,18,50,6,115,19,27,1,11
rocketmq-remoting 5.0.0-SNAPSHOT,org.apache.rocketmq.remoting.protocol,RemotingCommand,308,797,37,66,72,216,39,71,10,48
